"path","parent","direct_files","direct_subdirs","subtree_files"
".cursor","","1","1","2"
".cursor\rules",".cursor","1","0","1"
".githooks","","1","0","1"
".github","","1","1","13"
".github\workflows",".github","12","0","12"
".tmp","","1","1","3"
".tmp\staging_apply",".tmp","0","1","2"
".tmp\staging_apply\supabase",".tmp\staging_apply","0","2","2"
".tmp\staging_apply\supabase\.temp",".tmp\staging_apply\supabase","1","0","1"
".tmp\staging_apply\supabase\migrations",".tmp\staging_apply\supabase","1","0","1"
".vercel","","3","1","9"
".vercel\output",".vercel","2","1","6"
".vercel\output\diagnostics",".vercel\output","4","0","4"
".vscode","","1","0","1"
"app","","6","35","1152"
"app\(app)","app","1","3","5"
"app\(app)\dashboard","app\(app)","1","0","1"
"app\(app)\home","app\(app)","1","0","1"
"app\(app)\week","app\(app)","2","0","2"
"app\(auth)","app","1","7","12"
"app\(auth)\accept-invite","app\(auth)","2","0","2"
"app\(auth)\forgot-password","app\(auth)","1","0","1"
"app\(auth)\login","app\(auth)","2","0","2"
"app\(auth)\logout","app\(auth)","1","0","1"
"app\(auth)\register","app\(auth)","1","1","2"
"app\(auth)\register\employee","app\(auth)\register","1","0","1"
"app\(auth)\registrering","app\(auth)","1","1","2"
"app\(auth)\registrering\mottatt","app\(auth)\registrering","1","0","1"
"app\(auth)\reset-password","app\(auth)","1","0","1"
"app\(backoffice)","app","0","1","340"
"app\(backoffice)\backoffice","app\(backoffice)","1","50","340"
"app\(backoffice)\backoffice\_shell","app\(backoffice)\backoffice","5","0","5"
"app\(backoffice)\backoffice\acquire","app\(backoffice)\backoffice","1","0","1"
"app\(backoffice)\backoffice\agreement-runtime","app\(backoffice)\backoffice","1","0","1"
"app\(backoffice)\backoffice\ai","app\(backoffice)\backoffice","2","2","6"
"app\(backoffice)\backoffice\ai\editor-verification","app\(backoffice)\backoffice\ai","1","0","1"
"app\(backoffice)\backoffice\ai\overview","app\(backoffice)\backoffice\ai","3","0","3"
"app\(backoffice)\backoffice\ai-control","app\(backoffice)\backoffice","2","0","2"
"app\(backoffice)\backoffice\automation","app\(backoffice)\backoffice","1","0","1"
"app\(backoffice)\backoffice\autonomy","app\(backoffice)\backoffice","1","1","2"
"app\(backoffice)\backoffice\autonomy\optimize","app\(backoffice)\backoffice\autonomy","1","0","1"
"app\(backoffice)\backoffice\board","app\(backoffice)\backoffice","1","0","1"
"app\(backoffice)\backoffice\business","app\(backoffice)\backoffice","1","0","1"
"app\(backoffice)\backoffice\business-exec","app\(backoffice)\backoffice","1","0","1"
"app\(backoffice)\backoffice\cms-ai","app\(backoffice)\backoffice","0","0",
"app\(backoffice)\backoffice\content","app\(backoffice)\backoffice","2","8","250"
"app\(backoffice)\backoffice\content\[id]","app\(backoffice)\backoffice\content","1","1","2"
"app\(backoffice)\backoffice\content\[id]\_components","app\(backoffice)\backoffice\content\[id]","1","0","1"
"app\(backoffice)\backoffice\content\_actions","app\(backoffice)\backoffice\content","1","0","1"
"app\(backoffice)\backoffice\content\_components","app\(backoffice)\backoffice\content","221","2","227"
"app\(backoffice)\backoffice\content\_components\editors","app\(backoffice)\backoffice\content\_components","4","0","4"
"app\(backoffice)\backoffice\content\_components\workspace","app\(backoffice)\backoffice\content\_components","2","0","2"
"app\(backoffice)\backoffice\content\_data","app\(backoffice)\backoffice\content","1","0","1"
"app\(backoffice)\backoffice\content\_tree","app\(backoffice)\backoffice\content","8","0","8"
"app\(backoffice)\backoffice\content\_workspace","app\(backoffice)\backoffice\content","7","0","7"
"app\(backoffice)\backoffice\content\growth","app\(backoffice)\backoffice\content","1","0","1"
"app\(backoffice)\backoffice\content\recycle-bin","app\(backoffice)\backoffice\content","1","0","1"
"app\(backoffice)\backoffice\control","app\(backoffice)\backoffice","2","0","2"
"app\(backoffice)\backoffice\control-tower","app\(backoffice)\backoffice","1","0","1"
"app\(backoffice)\backoffice\customers","app\(backoffice)\backoffice","1","0","1"
"app\(backoffice)\backoffice\design","app\(backoffice)\backoffice","1","0","1"
"app\(backoffice)\backoffice\domains","app\(backoffice)\backoffice","1","0","1"
"app\(backoffice)\backoffice\enterprise","app\(backoffice)\backoffice","1","0","1"
"app\(backoffice)\backoffice\esg","app\(backoffice)\backoffice","2","0","2"
"app\(backoffice)\backoffice\execution","app\(backoffice)\backoffice","1","0","1"
"app\(backoffice)\backoffice\exit","app\(backoffice)\backoffice","1","1","2"
"app\(backoffice)\backoffice\exit\execute","app\(backoffice)\backoffice\exit","1","0","1"
"app\(backoffice)\backoffice\exit-now","app\(backoffice)\backoffice","1","0","1"
"app\(backoffice)\backoffice\experiments","app\(backoffice)\backoffice","1","1","2"
"app\(backoffice)\backoffice\experiments\[id]","app\(backoffice)\backoffice\experiments","1","0","1"
"app\(backoffice)\backoffice\forms","app\(backoffice)\backoffice","1","1","2"
"app\(backoffice)\backoffice\forms\[id]","app\(backoffice)\backoffice\forms","1","0","1"
"app\(backoffice)\backoffice\global","app\(backoffice)\backoffice","1","0","1"
"app\(backoffice)\backoffice\intelligence","app\(backoffice)\backoffice","1","0","1"
"app\(backoffice)\backoffice\internal","app\(backoffice)\backoffice","0","1","1"
"app\(backoffice)\backoffice\internal\ai-verification","app\(backoffice)\backoffice\internal","1","0","1"
"app\(backoffice)\backoffice\ipo","app\(backoffice)\backoffice","1","0","1"
"app\(backoffice)\backoffice\market","app\(backoffice)\backoffice","1","1","2"
"app\(backoffice)\backoffice\market\domination","app\(backoffice)\backoffice\market","1","0","1"
"app\(backoffice)\backoffice\media","app\(backoffice)\backoffice","1","0","1"
"app\(backoffice)\backoffice\members","app\(backoffice)\backoffice","1","0","1"
"app\(backoffice)\backoffice\observability","app\(backoffice)\backoffice","1","0","1"
"app\(backoffice)\backoffice\ops","app\(backoffice)\backoffice","1","0","1"
"app\(backoffice)\backoffice\preview","app\(backoffice)\backoffice","0","1","1"
"app\(backoffice)\backoffice\preview\[id]","app\(backoffice)\backoffice\preview","1","0","1"
"app\(backoffice)\backoffice\realtime","app\(backoffice)\backoffice","1","0","1"
"app\(backoffice)\backoffice\releases","app\(backoffice)\backoffice","1","0","1"
"app\(backoffice)\backoffice\revenue","app\(backoffice)\backoffice","1","0","1"
"app\(backoffice)\backoffice\runtime","app\(backoffice)\backoffice","1","0","1"
"app\(backoffice)\backoffice\sales","app\(backoffice)\backoffice","1","0","1"
"app\(backoffice)\backoffice\sales-machine","app\(backoffice)\backoffice","1","0","1"
"app\(backoffice)\backoffice\sdr","app\(backoffice)\backoffice","1","0","1"
"app\(backoffice)\backoffice\security","app\(backoffice)\backoffice","1","1","8"
"app\(backoffice)\backoffice\security\_components","app\(backoffice)\backoffice\security","7","0","7"
"app\(backoffice)\backoffice\seo-growth","app\(backoffice)\backoffice","2","0","2"
"app\(backoffice)\backoffice\settings","app\(backoffice)\backoffice","2","10","14"
"app\(backoffice)\backoffice\settings\_components","app\(backoffice)\backoffice\settings","1","0","1"
"app\(backoffice)\backoffice\settings\ai-governance","app\(backoffice)\backoffice\settings","1","0","1"
"app\(backoffice)\backoffice\settings\create-options","app\(backoffice)\backoffice\settings","1","0","1"
"app\(backoffice)\backoffice\settings\create-policy","app\(backoffice)\backoffice\settings","1","0","1"
"app\(backoffice)\backoffice\settings\data-types","app\(backoffice)\backoffice\settings","1","1","2"
"app\(backoffice)\backoffice\settings\data-types\[kind]","app\(backoffice)\backoffice\settings\data-types","1","0","1"
"app\(backoffice)\backoffice\settings\document-types","app\(backoffice)\backoffice\settings","1","1","2"
"app\(backoffice)\backoffice\settings\document-types\[alias]","app\(backoffice)\backoffice\settings\document-types","1","0","1"
"app\(backoffice)\backoffice\settings\governance-insights","app\(backoffice)\backoffice\settings","1","0","1"
"app\(backoffice)\backoffice\settings\management-read","app\(backoffice)\backoffice\settings","1","0","1"
"app\(backoffice)\backoffice\settings\schema","app\(backoffice)\backoffice\settings","1","0","1"
"app\(backoffice)\backoffice\settings\system","app\(backoffice)\backoffice\settings","1","0","1"
"app\(backoffice)\backoffice\social","app\(backoffice)\backoffice","2","0","2"
"app\(backoffice)\backoffice\system","app\(backoffice)\backoffice","1","2","3"
"app\(backoffice)\backoffice\system\ai-config","app\(backoffice)\backoffice\system","1","0","1"
"app\(backoffice)\backoffice\system\ai-prompts","app\(backoffice)\backoffice\system","1","0","1"
"app\(backoffice)\backoffice\templates","app\(backoffice)\backoffice","1","0","1"
"app\(backoffice)\backoffice\translation","app\(backoffice)\backoffice","1","0","1"
